  last_name  |     return_date     
 JACOBS      | 2005-05-31 04:19:14
 BOWMAN      | 2005-06-04 05:09:30
 GANNON      | 2005-06-03 01:26:10
 BUTTERFIELD | 2005-06-01 00:55:21
 MARTIN      | 2005-06-05 00:15:10
 STEPHENS    | 2005-06-01 05:23:52
 NOE         | 2005-06-04 05:46:18
 CHAPMAN     | 2005-06-04 07:57:25
 BOLIN       | 2005-05-29 01:28:04
 DEAN        | 2005-05-29 10:13:22
 WHITE       | 2005-06-05 04:24:41
 CULPEPPER   | 2005-05-28 09:56:33
 ADAMS       | 2005-05-28 06:33:11
 MOORE       | 2005-06-04 05:01:28
 BARCLAY     | 2005-06-03 04:39:39
 CULP        | 2005-06-01 02:50:33
 BARKLEY     | 2005-05-30 06:24:30
 KELLEY      | 2005-05-30 07:04:15
 FORD        | 2005-05-29 11:28:59
 ARTIS       | 2005-05-28 12:22:00
 HOULE       | 2005-05-31 10:44:12
 BOYD        | 2005-06-04 01:55:54
 FENNELL     | 2005-05-30 05:43:02
 LAWTON      | 2005-06-04 11:20:29
 HOWLAND     | 2005-06-01 06:20:49
 RODRIGUEZ   | 2005-06-05 06:39:43
 BATES       | 2005-06-05 03:05:18
 EASTER      | 2005-06-04 03:50:58
 ARNOLD      | 2005-06-02 03:36:05
 POULIN      | 2005-06-02 09:21:20
 WILLIAMSON  | 2005-05-30 15:27:25
 SEWARD      | 2005-06-01 13:37:27
 KINDER      | 2005-06-05 06:22:41
 EVANS       | 2005-06-02 16:09:26
 PETERS      | 2005-06-01 11:59:55
 MARKHAM     | 2005-06-01 14:28:42
 BREWER      | 2005-05-28 07:10:25
 JENNINGS    | 2005-06-03 16:44:11
 NOLEN       | 2005-05-28 17:36:02
 MEDINA      | 2005-05-31 08:34:44
 CAMPBELL    | 2005-05-29 17:55:55
 NGO         | 2005-05-30 08:53:18
 SPURLOCK    | 2005-05-29 11:47:52
 CALDWELL    | 2005-06-05 18:53:39
 ALVAREZ     | 2005-06-02 10:40:58
 SEWARD      | 2005-06-02 20:06:22
 SELBY       | 2005-05-29 15:07:23
 HOWELL      | 2005-05-31 14:39:20
 ROYAL       | 2005-05-28 19:07:45
 HANSEN      | 2005-05-29 10:34:10
 CHESTNUT    | 2005-05-29 20:01:27
 PALMER      | 2005-06-04 12:05:17
 FOSTER      | 2005-06-03 15:07:38
 MENDOZA     | 2005-06-04 13:19:13
 DANIELS     | 2005-06-01 11:47:55
 LANE        | 2005-06-03 16:52:30
 CRAIG       | 2005-06-05 13:22:04
 PERKINS     | 2005-05-31 17:24:58
 SANBORN     | 2005-06-05 20:23:26
 VEST        | 2005-05-30 19:55:40
 WILLIAMS    | 2005-06-02 11:20:09
 WADE        | 2005-05-30 21:26:04
 CLARY       | 2005-06-05 14:22:22
 MEDINA      | 2005-06-05 22:23:34
 WEINER      | 2005-06-02 23:01:48
 WAY         | 2005-05-30 12:30:13
 FLETCHER    | 2005-05-30 22:35:57
 CARRANZA    | 2005-06-03 16:42:41
 MORENO      | 2005-06-03 20:28:08
 WILLIS      | 2005-06-04 01:08:15
 PATTERSON   | 2005-05-29 01:07:54
 STEVENS     | 2005-05-30 20:53:33
 GRAF        | 2005-06-04 23:40:29
 FARNSWORTH  | 2005-06-02 17:17:29
 VARNEY      | 2005-06-03 21:12:36
 ELLIOTT     | 2005-05-30 00:49:44
 MYERS       | 2005-06-04 15:26:10
 CHAPMAN     | 2005-05-31 00:39:42
 PERKINS     | 2005-06-02 18:35:33
 GAFFNEY     | 2005-05-31 18:39:20
 JACOBS      | 2005-06-05 22:46:10
 ALVAREZ     | 2005-06-04 21:17:39
 FORMAN      | 2005-05-30 17:46:27
 KNOTT       | 2005-06-01 22:53:02
 MATTOX      | 2005-05-29 21:16:45
 SULLIVAN    | 2005-05-28 22:40:52
 GARDINER    | 2005-05-28 19:18:30
 BERRY       | 2005-06-03 22:30:50
 BOURQUE     | 2005-05-31 04:44:12
 BRYANT      | 2005-05-30 22:32:56
 AUSTIN      | 2005-05-29 00:11:35
 ROBINSON    | 2005-06-03 20:47:39
 MILES       | 2005-05-30 21:20:21
 FRANKLIN    | 2005-06-05 19:54:07
 HUDSON      | 2005-05-30 06:14:36
 HART        | 2005-05-31 01:02:43
 CRAIG       | 2005-05-28 22:12:25
 HAWKS       | 2005-06-02 05:07:19
 FISHER      | 2005-05-30 21:20:14
 JACOBS      | 2005-06-05 02:12:50
 DUGGAN      | 2005-06-05 00:49:28
 JORDAN      | 2005-06-04 02:18:10
 WARREN      | 2005-05-31 05:58:26
 MARKHAM     | 2005-06-03 10:01:05
 RINEHART    | 2005-06-01 10:21:01
 HERRMANN    | 2005-05-29 08:00:38
 HERZOG      | 2005-06-01 06:26:46
 TROUTMAN    | 2005-06-03 10:02:33
 GOODEN      | 2005-06-05 11:48:55
 JORDAN      | 2005-06-02 01:22:05
 ELROD       | 2005-06-02 09:12:58
 HARKINS     | 2005-06-06 07:16:34
 ROGERS      | 2005-06-04 01:47:20
 SEWARD      | 2005-06-06 01:31:28
 ROBB        | 2005-06-05 03:14:56
 BURK        | 2005-06-06 12:20:16
 GOODEN      | 2005-06-02 12:55:18
 WALLACE     | 2005-06-04 12:45:38
 CARROLL     | 2005-06-02 03:01:44
 GAITHER     | 2005-05-31 03:29:16
 REED        | 2005-05-30 07:34:14
 RODRIGUEZ   | 2005-06-06 07:29:36
 HIDALGO     | 2005-06-03 10:42:22
 BURLESON    | 2005-06-05 08:38:02
 POWER       | 2005-06-04 12:27:02
 FORD        | 2005-06-02 05:26:21
 RUIZ        | 2005-06-01 06:41:20
 COOK        | 2005-06-03 10:08:41
 JORDON      | 2005-06-02 05:04:13
 OCAMPO      | 2005-06-04 13:15:10
 DAVIS       | 2005-06-01 13:27:14
 THOMPSON    | 2005-06-01 10:44:53
 FOX         | 2005-06-04 12:37:29
 TAN         | 2005-06-04 07:09:55
 MCDUFFIE    | 2005-06-03 15:35:45
 COX         | 2005-05-30 13:45:33
 FLORES      | 2005-05-29 16:25:37
 GRIGSBY     | 2005-06-03 07:15:50
 MARTINEZ    | 2005-05-29 17:20:04
 MARTIN      | 2005-05-30 17:10:23
 MEDINA      | 2005-06-06 19:06:02
 HAWKINS     | 2005-06-03 18:00:50
 CAUSEY      | 2005-06-01 16:41:57
 QUALLS      | 2005-06-03 11:57:19
 HANNON      | 2005-06-05 15:16:54
 MOTLEY      | 2005-06-03 11:03:07
 GEARY       | 2005-06-01 09:28:10
 GANNON      | 2005-06-04 09:44:39
 OLVERA      | 2005-05-30 12:54:41
 CHOATE      | 2005-06-04 17:14:44
 DANIELS     | 2005-06-05 14:47:02
 KINDER      | 2005-06-02 12:30:25
 GREY        | 2005-05-31 20:15:18
 PERKINS     | 2005-05-30 14:22:54
 JOY         | 2005-06-04 12:27:28
 MILAM       | 2005-06-03 17:35:52
 MACKENZIE   | 2005-05-31 14:29:14
 RATCLIFF    | 2005-06-06 17:55:26
 TEEL        | 2005-06-01 14:02:09
 LARSON      | 2005-06-04 19:58:43
 RAY         | 2005-06-06 16:29:46
 GONZALES    | 2005-06-02 20:01:15
 ESTEP       | 2005-06-05 20:05:51
 BARCLAY     | 2005-06-03 14:56:32
 MADRIGAL    | 2005-06-03 22:49:59
 KRUGER      | 2005-06-05 16:18:35
 FOWLER      | 2005-05-29 23:48:29
 MACKENZIE   | 2005-06-02 19:03:43
 ROSE        | 2005-06-01 20:50:12
 WELCH       | 2005-05-31 15:15:11
 HARPER      | 2005-05-31 16:50:14
 CARLSON     | 2005-06-03 15:57:54
 ROBERTS     | 2005-05-29 14:57:47
 THRASHER    | 2005-06-04 14:44:20
 LEWIS       | 2005-05-30 22:02:30
 MILES       | 2005-05-31 16:46:20
 HAMILTON    | 2005-06-06 19:31:23
 CASTILLO    | 2005-05-31 01:36:53
 STEWART     | 2005-06-02 01:22:25
 PAYNE       | 2005-06-01 19:00:31
 CARROLL     | 2005-06-02 17:39:02
 GUAJARDO    | 2005-06-02 20:56:08
 NEUMANN     | 2005-06-05 16:45:51
 FIELDS      | 2005-06-06 22:43:03
 WHITE       | 2005-06-03 01:21:30
 KOWALSKI    | 2005-06-06 02:10:29
 PATTERSON   | 2005-06-01 23:58:35
 GILMAN      | 2005-06-01 02:57:44
 MCDUFFIE    | 2005-05-29 20:36:51
 CHAVEZ      | 2005-06-05 19:11:08
 WALTERS     | 2005-06-03 04:43:48
 SEAL        | 2005-06-06 21:59:57
 CRAWLEY     | 2005-06-02 02:28:26
 HUNT        | 2005-05-29 19:14:18
 BLAKELY     | 2005-06-04 21:26:15
 WILLIS      | 2005-06-05 05:32:51
 CHISHOLM    | 2005-06-03 23:48:53
 GARCIA      | 2005-06-02 03:54:10
 WEAVER      | 2005-06-03 02:29:31
 SCHILLING   | 2005-06-04 00:47:04
 MENDOZA     | 2005-06-04 20:23:44
 CHESTNUT    | 2005-05-30 01:52:30
 WALTERS     | 2005-06-03 04:54:36
 SHELLEY     | 2005-06-06 01:51:43
 STEVENS     | 2005-05-31 21:27:47
 BANKS       | 2005-05-31 08:29:03
 MAHON       | 2005-05-30 03:09:24
 MILNER      | 2005-06-01 23:05:21
 ADAMS       | 2005-06-01 07:42:29
 BUTTERFIELD | 2005-05-30 05:48:44
 DAY         | 2005-06-01 07:53:05
 HAUSER      | 2005-06-06 02:47:30
 PINSON      | 2005-06-05 04:01:23
 DAY         | 2005-06-03 08:52:41
 MILNER      | 2005-06-05 04:40:29
 MAHAN       | 2005-06-04 03:23:13
 BOWENS      | 2005-05-30 10:08:51
 BREAUX      | 2005-06-03 10:17:52
 GRAVES      | 2005-06-05 10:21:07
 HERRMANN    | 2005-06-04 11:18:31
 HOLLAND     | 2005-06-06 08:59:08
 PERRY       | 2005-06-06 09:21:18
 FLORES      | 2005-06-04 12:47:36
 CORNISH     | 2005-06-06 08:42:02
 LANCE       | 2005-06-01 07:05:08
 HUNTER      | 2005-06-02 04:20:10
 SELBY       | 2005-05-31 11:45:33
 MASON       | 2005-06-05 08:52:42
 OBRIEN      | 2005-06-04 05:03:59
 MCCARTER    | 2005-06-01 10:25:29
 PREWITT     | 2005-06-01 14:53:56
 HART        | 2005-06-07 16:23:57
 BELL        | 2005-06-03 16:18:01
 TORRES      | 2005-06-02 14:15:19
 MENA        | 2005-06-07 09:00:46
 SCHOFIELD   | 2005-06-07 15:54:50
 BOURQUE     | 2005-06-01 16:05:14
 WELLS       | 2005-05-30 07:53:26
 MADRIGAL    | 2005-06-03 08:41:58
 FORSYTHE    | 2005-06-02 13:18:57
 MORRIS      | 2005-06-06 10:39:18
 CROUSE      | 2005-06-01 17:28:22
 FENNELL     | 2005-06-07 10:07:28
 ALLEN       | 2005-06-07 11:07:03
 MCALISTER   | 2005-06-02 17:22:29
 HERZOG      | 2005-06-06 19:21:08
 BARBEE      | 2005-06-01 11:33:39
 HALL        | 2005-06-03 16:22:44
 BOYD        | 2005-06-01 13:06:43
 YANEZ       | 2005-06-04 17:05:50
 FRALEY      | 2005-05-31 22:42:59
 LOPEZ       | 2005-05-30 14:35:30
 REID        | 2005-06-07 15:11:18
 SHELBY      | 2005-05-31 00:18:30
 LYNCH       | 2005-06-03 18:36:50
 GRAHAM      | 2005-06-06 20:32:20
 HANSEN      | 2005-06-05 19:05:20
 SIMPKINS    | 2005-06-04 21:12:04
 CARRANZA    | 2005-06-02 16:19:42
 HARVEY      | 2005-05-30 19:43:30
 GILLETTE    | 2005-06-06 22:31:39
 SCHULER     | 2005-06-02 23:18:53
 BENNER      | 2005-06-02 15:15:32
 RODRIGUEZ   | 2005-06-07 00:22:22
 POULIN      | 2005-06-04 20:27:41
 HAWKINS     | 2005-06-07 17:37:20
 PERRY       | 2005-05-30 22:00:30
 ARCE        | 2005-05-31 04:11:42
 WILLIS      | 2005-06-02 05:31:08
 ADAM        | 2005-06-06 22:19:57
 BARNES      | 2005-05-31 20:39:41
 MAHON       | 2005-05-31 00:58:24
 EDWARDS     | 2005-06-01 00:56:45
 BRINSON     | 2005-06-06 20:20:15
 WHEAT       | 2005-06-01 06:34:11
 RUNYON      | 2005-06-03 20:16:28
 SCHMIDT     | 2005-06-02 06:07:23
 BARNES      | 2005-06-02 07:49:20
 COUGHLIN    | 2005-06-05 04:34:59
 GRANT       | 2005-06-07 08:10:44
 HALE        | 2005-06-03 09:18:06
 SATTERFIELD | 2005-06-04 06:22:30
 SELBY       | 2005-06-07 00:49:20
 ANDREW      | 2005-06-06 00:34:24
 PERRYMAN    | 2005-06-07 09:06:22
 CRAWLEY     | 2005-06-05 01:45:42
 BOSTIC      | 2005-06-02 04:35:33
 ISOM        | 2005-06-07 04:50:05
 COOPER      | 2005-06-03 07:03:28
 CAUSEY      | 2005-06-01 06:04:51
 MARTIN      | 2005-06-01 06:48:00
 ELLIS       | 2005-05-31 07:56:53
 CORNWELL    | 2005-06-07 08:23:59
 CASTILLO    | 2005-06-05 07:37:52
 STEPP       | 2005-06-01 10:45:19
 FERGUSON    | 2005-06-06 12:39:30
 TURNER      | 2005-06-05 04:58:42
 CHRISTENSON | 2005-06-07 06:44:38
 HUEY        | 2005-06-07 12:26:22
 HEATON      | 2005-05-31 09:31:33
 WHEAT       | 2005-06-07 13:22:58
 FORSYTHE    | 2005-06-04 06:07:00
 PETERS      | 2005-05-31 07:55:24
 HURTADO     | 2005-06-02 13:16:06
 TEEL        | 2005-06-02 08:19:01
 HOWLAND     | 2005-06-03 10:00:09
 BROWNLEE    | 2005-06-08 10:12:55
 KENNEDY     | 2005-06-02 14:41:52
 PRICE       | 2005-06-01 08:53:54
 PIERCE      | 2005-05-31 16:20:40
 BARNES      | 2005-06-05 13:56:14
 REYES       | 2005-06-04 10:53:57
 KELLEY      | 2005-05-31 10:30:36
 BAILEY      | 2005-06-08 16:44:46
 ROYAL       | 2005-06-05 09:53:31
 CAMPBELL    | 2005-06-04 10:10:31
 OLIVARES    | 2005-06-08 15:59:47
 HICKS       | 2005-06-07 18:09:24
 RICO        | 2005-06-02 15:02:17
 DAY         | 2005-06-08 17:30:27
 MURPHY      | 2005-05-31 19:01:35
 TROUT       | 2005-06-02 16:12:07
 RHODES      | 2005-06-08 13:30:29
 BAUGHMAN    | 2005-05-31 11:58:03
 HALE        | 2005-06-07 13:54:28
 COLBY       | 2005-06-03 15:31:29
 FOX         | 2005-06-01 19:17:03
 ELROD       | 2005-06-02 14:37:00
 FORMAN      | 2005-06-04 00:12:23
 OCAMPO      | 2005-06-04 23:40:44
 HARVEY      | 2005-06-07 16:19:53
 MILES       | 2005-06-04 22:32:21
 CORNWELL    | 2005-05-31 17:10:14
 SHELLEY     | 2005-06-09 00:02:06
 MCCARTER    | 2005-05-31 18:17:03
 OLIVARES    | 2005-06-08 22:47:45
 FORSYTHE    | 2005-06-08 23:45:42
 MILLER      | 2005-06-03 01:48:15
 WOFFORD     | 2005-06-06 02:16:19
 BROTHERS    | 2005-06-04 22:32:26
 SHELTON     | 2005-06-08 00:24:11
 ANDREW      | 2005-06-01 03:15:42
 DAVIDSON    | 2005-06-01 20:15:17
 JENKINS     | 2005-06-03 20:36:51
 TROUT       | 2005-06-06 18:41:14
 ROBINS      | 2005-06-04 01:00:36
(515 rows)

